Key,Value
6/7/2019 12:00:00 AM,9
6/8/2019 12:00:00 AM,33
6/9/2019 12:00:00 AM,30
6/10/2019 12:00:00 AM,7
6/11/2019 12:00:00 AM,6
6/12/2019 12:00:00 AM,0
6/13/2019 12:00:00 AM,0
6/14/2019 12:00:00 AM,0
6/15/2019 12:00:00 AM,0
6/16/2019 12:00:00 AM,0
6/17/2019 12:00:00 AM,0
6/18/2019 12:00:00 AM,0
6/19/2019 12:00:00 AM,0
6/20/2019 12:00:00 AM,0
6/21/2019 12:00:00 AM,0
6/22/2019 12:00:00 AM,9
6/23/2019 12:00:00 AM,6
6/24/2019 12:00:00 AM,6
6/25/2019 12:00:00 AM,9
6/26/2019 12:00:00 AM,10
6/27/2019 12:00:00 AM,60
6/28/2019 12:00:00 AM,23
6/29/2019 12:00:00 AM,12
6/30/2019 12:00:00 AM,12
7/1/2019 12:00:00 AM,12
7/2/2019 12:00:00 AM,28
7/3/2019 12:00:00 AM,8
7/4/2019 12:00:00 AM,0
7/5/2019 12:00:00 AM,3
7/6/2019 12:00:00 AM,0
7/7/2019 12:00:00 AM,0
7/8/2019 12:00:00 AM,2
7/9/2019 12:00:00 AM,12
7/10/2019 12:00:00 AM,0
7/11/2019 12:00:00 AM,15
7/12/2019 12:00:00 AM,3
7/13/2019 12:00:00 AM,2
